game_id,season,week,season_type,team,opponent,is_home,n_plays,epa_sum,epa_per_play
2010_01_ARI_STL,2010,1,REG,ARI,LA,0,68,-9.2777,-0.136437
2010_01_ARI_STL,2010,1,REG,LA,ARI,1,81,-15.87,-0.195926
2010_01_ATL_PIT,2010,1,REG,ATL,PIT,0,74,-8.8874,-0.1201
2010_01_ATL_PIT,2010,1,REG,PIT,ATL,1,60,-1.6972,-0.028287
2010_01_BAL_NYJ,2010,1,REG,BAL,NYJ,0,81,-9.3104,-0.114943
2010_01_BAL_NYJ,2010,1,REG,NYJ,BAL,1,45,-18.4952,-0.411004
2010_01_CAR_NYG,2010,1,REG,CAR,NYG,0,64,-20.4048,-0.318826
2010_01_CAR_NYG,2010,1,REG,NYG,CAR,1,71,-2.1906,-0.030853
2010_01_CIN_NE,2010,1,REG,CIN,NE,0,78,4.0881,0.052411
2010_01_CIN_NE,2010,1,REG,NE,CIN,1,60,13.21,0.220166
2010_01_CLE_TB,2010,1,REG,CLE,TB,0,62,-13.3589,-0.215466
2010_01_CLE_TB,2010,1,REG,TB,CLE,1,64,-13.6696,-0.213587
2010_01_DAL_WAS,2010,1,REG,DAL,WAS,0,75,-4.161,-0.05548
2010_01_DAL_WAS,2010,1,REG,WAS,DAL,1,61,-10.6373,-0.174382
2010_01_DEN_JAX,2010,1,REG,DEN,JAX,0,63,3.7638,0.059743
2010_01_DEN_JAX,2010,1,REG,JAX,DEN,1,55,9.1838,0.166978
2010_01_DET_CHI,2010,1,REG,CHI,DET,1,77,-12.4735,-0.161994
2010_01_DET_CHI,2010,1,REG,DET,CHI,0,56,-16.8421,-0.300751
2010_01_GB_PHI,2010,1,REG,GB,PHI,0,66,3.0255,0.045841
2010_01_GB_PHI,2010,1,REG,PHI,GB,1,66,-3.9758,-0.06024
2010_01_IND_HOU,2010,1,REG,HOU,IND,1,59,15.3907,0.260859
2010_01_IND_HOU,2010,1,REG,IND,HOU,0,72,12.5505,0.174313
2010_01_MIA_BUF,2010,1,REG,BUF,MIA,1,55,-12.7506,-0.231829
2010_01_MIA_BUF,2010,1,REG,MIA,BUF,0,74,-0.6964,-0.009411
2010_01_MIN_NO,2010,1,REG,MIN,NO,0,55,-8.8556,-0.161011
2010_01_MIN_NO,2010,1,REG,NO,MIN,1,60,1.0997,0.018328
2010_01_OAK_TEN,2010,1,REG,LV,TEN,0,68,-7.808,-0.114824
2010_01_OAK_TEN,2010,1,REG,TEN,LV,1,55,11.4154,0.207553
2010_01_SD_KC,2010,1,REG,KC,LAC,1,48,-10.8463,-0.225965
2010_01_SD_KC,2010,1,REG,LAC,KC,0,69,-2.3294,-0.033759
2010_01_SF_SEA,2010,1,REG,SEA,SF,1,51,0.9425,0.01848
2010_01_SF_SEA,2010,1,REG,SF,SEA,0,67,-21.2435,-0.317067
2010_02_ARI_ATL,2010,2,REG,ARI,ATL,0,48,-14.9741,-0.31196
2010_02_ARI_ATL,2010,2,REG,ATL,ARI,1,82,21.177,0.258256
2010_02_BAL_CIN,2010,2,REG,BAL,CIN,0,65,-17.1543,-0.263912
2010_02_BAL_CIN,2010,2,REG,CIN,BAL,1,67,-9.8008,-0.146281
2010_02_BUF_GB,2010,2,REG,BUF,GB,0,56,-16.4896,-0.294456
2010_02_BUF_GB,2010,2,REG,GB,BUF,1,55,15.2773,0.27777
2010_02_CHI_DAL,2010,2,REG,CHI,DAL,0,50,6.5631,0.131262
2010_02_CHI_DAL,2010,2,REG,DAL,CHI,1,71,-4.1609,-0.058605
2010_02_HOU_WAS,2010,2,REG,HOU,WAS,0,83,19.4521,0.234363
2010_02_HOU_WAS,2010,2,REG,WAS,HOU,1,59,13.6557,0.231453
2010_02_JAX_SD,2010,2,REG,JAX,LAC,0,71,-16.4511,-0.231706
2010_02_JAX_SD,2010,2,REG,LAC,JAX,1,61,15.3535,0.251696
2010_02_KC_CLE,2010,2,REG,CLE,KC,1,62,-11.6741,-0.188291
2010_02_KC_CLE,2010,2,REG,KC,CLE,0,66,-5.6393,-0.085444
2010_02_MIA_MIN,2010,2,REG,MIA,MIN,0,48,-11.8056,-0.24595
2010_02_MIA_MIN,2010,2,REG,MIN,MIA,1,74,-15.4974,-0.209424
2010_02_NE_NYJ,2010,2,REG,NE,NYJ,0,61,4.3474,0.071269
2010_02_NE_NYJ,2010,2,REG,NYJ,NE,1,68,12.3558,0.181704
2010_02_NO_SF,2010,2,REG,NO,SF,0,65,0.9988,0.015366
2010_02_NO_SF,2010,2,REG,SF,NO,1,62,10.4787,0.169012
2010_02_NYG_IND,2010,2,REG,IND,NYG,1,68,10.6549,0.15669
2010_02_NYG_IND,2010,2,REG,NYG,IND,0,54,-13.5452,-0.250837
2010_02_PHI_DET,2010,2,REG,DET,PHI,1,75,3.8095,0.050793
2010_02_PHI_DET,2010,2,REG,PHI,DET,0,67,15.5728,0.232429
2010_02_PIT_TEN,2010,2,REG,PIT,TEN,0,56,-21.82,-0.389644
2010_02_PIT_TEN,2010,2,REG,TEN,PIT,1,62,-26.9982,-0.435454
2010_02_SEA_DEN,2010,2,REG,DEN,SEA,1,72,17.7385,0.246368
2010_02_SEA_DEN,2010,2,REG,SEA,DEN,0,57,5.5374,0.097147
2010_02_STL_OAK,2010,2,REG,LA,LV,0,54,-1.8918,-0.035034
2010_02_STL_OAK,2010,2,REG,LV,LA,1,80,0.7915,0.009893
2010_02_TB_CAR,2010,2,REG,CAR,TB,1,66,-14.1305,-0.214099
